id,degree,field,institution,year,title,advisor,pdf_url,presentation_url,display_order,record_status
"phd-thesis","PhD","Computer Engineering","Kyung Hee University, South Korea","2022","Towards Haptic Texture Content Library: Texture Synthesis Through Automatic Model Assignment and Texture Authoring in Haptic Attribute Space","Seokhee Jeon","assets/PhDThesis.pdf","https://docs.google.com/presentation/d/1h27Ps18JZNib0ozJi3zSdQ4gF5Z8VWSx/edit?usp=drive_link&ouid=102648334383273136949&rtpof=true&sd=true","1","published"
"ms-thesis","MS","Computer Engineering","Kyung Hee University, South Korea","2016","Towards Universal Haptic Library—Library-Based Haptic Texture Assignment Using Image Texture","Seokhee Jeon","assets/MSThesis.pdf","https://docs.google.com/presentation/d/1wTQxjmUNlMgckQjevaong25ExdN73gQ9/edit?usp=sharing&ouid=102648334383273136949&rtpof=true&sd=true","2","published"
"bs-degree","BS","Electrical (Telecommunication) Engineering","National University of Sciences and Technology, Pakistan","2012","Electrical and Telecommunication Engineering","","","","3","published"
"example-thesis","PhD","Example Field","Example University","2099","Example thesis title","Example Advisor","assets/example-thesis.pdf","https://example.com/slides","999","example"
