id,year,status,title,inventors,patent_number,publisher_url,pdf_url,themes,display_order,record_status
"patent-haptic-cigarette","2025","Application pending","Haptic Cigarette: Creating Perception of Smoking Using Vibrotactile Haptic Feedback","Waseem Hassan; Seokhee Jeon","","","","interfaces-embodied|computational-perception","1","published"
"patent-texture-prediction","2024","Published August 2024","Apparatus and Method for Haptic Texture Prediction","Waseem Hassan; Joolekha Bibi Joolee; Seokhee Jeon","KR20240106312A","https://patents.google.com/patent/KR20240106312A/en","assets/TexturePatent2022.pdf","computational-perception","2","published"
"patent-hapwheel","2021","Registered July 2021","Apparatus for Controlling Electronic Function Module in the Vehicle using Steering Wheel with Dual Ubiquitous Haptic Sensor","Waseem Hassan; Ahsan Raza; Muhammad Abdullah; Seokhee Jeon","KR102275761B1","https://patents.google.com/patent/KR102275761B1/en","assets/HapWheelPatent.pdf","interfaces-embodied","3","published"
"patent-fire-extinguisher","2021","Published September 2021","Apparatus and Method for Simulating Interactive Virtual-Reality Fire Extinguisher With Haptic Feedback","Waseem Hassan; Sang Woo Seo","KR20210111542A","https://patents.google.com/patent/KR20210111542A/en","assets/FireExtinguisherPatent2020.pdf","interfaces-embodied","4","published"
"example-patent","2099","Application pending","Example Patent Title","Waseem Hassan; Coinventor Name","XX000000","https://example.com/patent","assets/example-patent.pdf","computational-perception","999","example"
