id,title,summary,themes,venue,year,image,image_alt,publication_ids,publisher_url,pdf_url,video_url,presentation_url,project_url,featured,display_order,record_status
"heartbeat-resonance","Heartbeat Resonance","Introduces a non-contact approach that modulates low-frequency sound to produce heartbeat-like sensations in the chest, evaluated through two experiments.","contactless-body|computational-perception","ACM CHI","2025","assets/project-images/heartbeat-resonance.webp","Illustration showing low-frequency sound producing heartbeat sensations in the chest","c18-heartbeat-2025","https://dl.acm.org/doi/10.1145/3706598.3713959","assets/Heartbeat2025.pdf","https://youtu.be/LG8bVkIA4qs","https://www.youtube.com/watch?v=YsoblguYxa8","","true","1","published"
"body-centred-sound","Non-contact Sensations On and In the Body","Uses room-scale low-frequency standing waves to create predictable non-contact sensations at different locations on and within the body.","contactless-body|computational-perception","ACM CHI","2024","assets/project-images/body-centred-sound.webp","Four-part research diagram showing low-frequency sound forming standing waves around a person","c15-body-sound-2024","https://dl.acm.org/doi/full/10.1145/3613904.3642311","assets/WholeBodyHaptics2024.pdf","https://www.youtube.com/watch?v=mBzzD6YWjSE","https://www.youtube.com/watch?v=j8zDKYOpepc","","true","2","published"
"hapwheel","HapWheel","Embeds two ubiquitous haptic displays into a steering wheel so drivers can operate in-car controls with short finger movements and receive action-specific feedback.","interfaces-embodied","IEEE T-ITS","2022","assets/project-images/hapwheel.webp","HapWheel prototype and the device mounted on a car steering wheel","j9-hapwheel-2022","https://ieeexplore.ieee.org/document/9745467","assets/Hapwheel2022.pdf","https://www.youtube.com/watch?v=YQr-J_LfgQk","","","true","3","published"
"hapticdrone","HapticDrone","Transforms a drone into an encountered-type kinesthetic interface with controlled force for rendering the stiffness and weight of virtual objects.","interfaces-embodied","IEEE Haptics Symposium","2018","assets/project-images/hapticdrone.webp","HapticDrone prototype beside a participant interacting with it in virtual reality","c7-hapticdrone-2018|c4-hapticdrone-2017","https://ieeexplore.ieee.org/document/8357197","assets/DroneRendering2018.pdf","https://www.youtube.com/watch?v=DW4fHhXIOKk","","","true","4","published"
"haptic-texture-authoring","Haptic Texture Authoring & Prediction","Builds haptic attribute and perceptual spaces, then uses data-driven models to author new textures and predict tactile qualities from image features.","computational-perception","Scientific Reports · IEEE TIE","2020–2023","assets/project-images/haptic-textures.webp","A grid of one hundred textured surfaces used to establish a haptic attribute space","j12-attribute-space-2023|j6-texture-authoring-2020|c14-predicting-attributes-2023","https://www.nature.com/articles/s41598-023-38929-6","assets/AttributeRating2023.pdf","https://www.youtube.com/watch?v=9QzzGFJSHTY","","","true","5","published"
"mid-air-ultrasound","Perceptually Correct Mid-Air Ultrasound Haptics","Adjusts ultrasound focal-point output across frequencies so mid-air tactile stimuli can be rendered at perceptually aligned magnitudes.","contactless-body|computational-perception","IEEE TIE","2019","assets/project-images/ultrasound.webp","A hand positioned over an ultrasound phased array during a haptic perception experiment","j5-ultrasound-2019","https://ieeexplore.ieee.org/document/8691689","assets/Ultrasound2019.pdf","","","","true","6","published"
"pneumatic-wearable","Multi-Modal Pneumatic Wearable","Combines normal force, lateral cues, and vibration in a compact wearable pneumatic actuator designed for multi-modal haptic feedback.","interfaces-embodied","IEEE Access","2024","assets/project-images/pneumatic-wearable.webp","Participant wearing a pneumatic haptic actuator on the forearm during an evaluation","j14-pneumatic-wearable-2024","https://ieeexplore.ieee.org/abstract/document/10471534","assets/PneumaticActuator2024.pdf","https://youtube.com/watch?v=bpTInj09jT4","","","true","7","published"
"example-project","Example project","A one-sentence contribution-focused summary goes here.","interfaces-embodied","Example Venue","2099","assets/project-images/example.webp","Describe the people device or diagram shown","example-publication","https://example.com/project","assets/example-paper.pdf","https://example.com/video","https://example.com/slides","https://example.com/materials","false","999","example"
